Louisville Cardinals,http://www.sportslogos.net/images/logos/32/734/full/2841.gif
Pittsburgh Panthers,http://cyberbargins.net/pittsburgh.gif
Rutgers Scarlet Knights,http://collegesportsnation.com/iphone_wallpapers/rutgers_scarlet_knights/rutgers_iphone_wallpaper.jpg
South Florida Bulls,http://www.elegantsportsjewelry.com/store/skin/frontend/default/esj-theme/images/media/logos/usf-bulls.gif
Syracuse Orange,http://www.sport-insight.com/images/ncaaf/Syracuse%20Orange.jpg
West Virginia Mountaineers,http://www.statejournal.com/images/081509083351_wvu%20logo2.jpg
Illinois Fighting Illini,http://upload.wikimedia.org/wikipedia/en/8/81/Illini_logo.svg
Indiana Hoosiers,http://www.midwestsportsfans.com/wp-content/uploads/2008/10/iu-logo.png
Iowa Hawkeyes,http://www.themacdaily.com/web_images/iowahawkeyes.jpg
Michigan State Spartans,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Michigan_State_Spartans_logo.svg/180px-Michigan_State_Spartans_logo.svg.png
Michigan Wolverines,http://www.sport-insight.com/images/ncaaf/Michigan%20Wolverines.jpg
Minnesota Golden Gophers,http://jdsjsports.com/catalog/images/Minnesota%20Golden%20Gophers%20logo.gif
Northwestern Wildcats,http://www.mullensbarandgrill.com/rogers-park/userfiles/DU_Northwestern_logo.jpg
Ohio State Buckeyes,http://www.blackshoediaries.com/images/admin/OhioState_Logo.jpg
Penn State Nittany Lions,http://team-roster.com/images/teamLogos/228MG0040.jpg
Purdue Boilermakers,http://www.inewscatcher.com/timages/19914635cf7543d63c4a238a3762a6d0.jpg
Wisconsin Badgers,http://collegefootballbelt.com/Logos/Wisconsin%20Logo%201991.gif
East Carolina Pirates,http://collegefootballbelt.com/Logos/East%20Carolina%202004.gif
Houston Cougars,http://www.sport-insight.com/images/ncaaf/Houston%20Cougars.jpg
Marshall Thundering Herd,http://www.emptythebench.com/wp-content/uploads/2009/10/Marshall-Thundering-Herd-Logo.gif
Memphis Tigers,http://cdn3.faniq.com/images/logo/08/6008-2.gif
Rice Owls,http://images.maxpreps.com/site_images/college_logos/rice.gif
Southern Methodist Mustangs,http://www.seeklogo.com/images/S/Southern_Methodist_Mustangs-logo-9952FC90CD-seeklogo.com.gif
Southern Miss Golden Eagles,http://www.herbanmedia.com/facebook/apps/ncaa-college-football/icons/89.png
Tulane Green Wave,http://www.sportspagemagazine.com/content/bm.pix/tulane_wave_logo_web.s600x600.jpg
Tulsa Golden Hurricane,http://upload.wikimedia.org/wikipedia/en/b/be/TulsaGoldenHurricane.png
UAB Blazers,http://bigredhuskers.com/img/teams/uab.gif
UCF Knights,http://upload.wikimedia.org/wikipedia/en/9/93/CentralFloridaLogo.png
UTEP Miners,http://www.nationalchamps.net/NCAA/ncaa_logos/utep_logo_2003.gif
Army Black Knights,http://upload.wikimedia.org/wikipedia/commons/5/50/USMA-BlackKnights-Logo.svg
Navy Midshipmen,http://www.sport-insight.com/images/ncaaf/Navy%20Midshipmen.gif
Notre Dame Fighting Irish,http://upload.wikimedia.org/wikipedia/commons/c/c7/NotreDameFightingIrish.svg
Akron Zips,http://www.macbattles.com/forum/images/stories/akron_seal.jpg
Ball State Cardinals,http://upload.wikimedia.org/wikipedia/en/c/ca/BallStateCardinals.png
Bowling Green Falcons,http://www.vandelaysports.com/images/logo_bgsu1.gif
Buffalo Bulls,http://www.fantasycollegeblitz.com/wp-content/uploads/2009/11/Buffalo-Bulls-logo.jpg
Central Michigan Chippewas,http://upload.wikimedia.org/wikipedia/en/3/32/CentralMichiganChippewas.png
Eastern Michigan Eagles,http://sportsevents.net/venues/images/eastern_michigan_eagles.jpg
